numero_boletim;data_hora_boletim;sequencial_veiculo;codigo_categoria;descricao_categoria;codigo_especie;descricao_especie;codigo_situacao;descricao_situacao;tipo_socorro;descricao_tipo_socorro
11911;31/07/2011 10:00;1;3;PARTICULAR                    ;0;NAO INFORMADO                 ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
11981;03/01/2011 15:05;1;4;ALUGUEL                       ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
11981;03/01/2011 15:05;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12170;03/01/2011 13:30;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12170;03/01/2011 13:30;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12199;03/01/2011 14:40;1;3;PARTICULAR                    ;13;CAMINHAO                      ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12199;03/01/2011 14:40;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12199;03/01/2011 14:40;3;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12355;03/01/2011 16:20;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12355;03/01/2011 16:20;2;4;ALUGUEL                       ;8;ONIBUS                        ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12394;03/01/2011 17:00;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12394;03/01/2011 17:00;2;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12412;03/01/2011 13:00;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12412;03/01/2011 13:00;2;0;NAO INFORMADO                 ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12490;03/01/2011 12:47;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12490;03/01/2011 12:47;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12892;01/01/2011 21:20;1;3;PARTICULAR                    ;4;MOTOCICLETA                   ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12892;01/01/2011 21:20;2;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
12987;03/01/2011 18:25;1;3;PARTICULAR                    ;6;AUTOMOVEL                     ;1;EM MOVIMENTO   ;2;VIATURA PMMG        
