bairro_pk;bairro_tipo_pk;bairro_desc;bairro_tipo_desc
290;NI;Barão Homem de Melo 3ª Seção  ;Não informado        
291;B ;Barão Homem de Melo 1ª Seção  ;Bairro               
292;B ;Vila Batik                    ;Bairro               
293;B ;Beira Linha                   ;Bairro               
294;B ;Bela Vitória                  ;Bairro               
295;B ;Belém                         ;Bairro               
296;B ;Bernadete                     ;Bairro               
297;B ;Biquinhas                     ;Bairro               
298;B ;Bispo de Maura                ;Bairro               
299;B ;Boa União 2ª Seção            ;Bairro               
300;B ;Boa União 1ª Seção            ;Bairro               
301;B ;Camponesa 1ª Seção            ;Bairro               
302;B ;Camponesa 2ª Seção            ;Bairro               
303;B ;Canadá                        ;Bairro               
304;B ;Candelária                    ;Bairro               
305;B ;Cenáculo                      ;Bairro               
306;B ;Chácara Leonina               ;Bairro               
307;B ;Cônego Pinheiro 1ª Seção      ;Bairro               
308;NI;Cônego Pinheiro 2ª Seção      ;Não informado        
309;B ;Conjunto Floramar             ;Bairro               
310;B ;Conjunto Jardim Filadélfia    ;Bairro               
311;B ;Conjunto Lagoa                ;Bairro               
312;B ;Conjunto Minas Caixa          ;Bairro               
313;B ;Conjunto Paulo 6ª Seção       ;Bairro               
314;B ;Conjunto Providência          ;Bairro               
315;NI;Conjunto São Francisco de Assi;Não informado        
316;B ;Conjunto Serra Verde          ;Bairro               
317;B ;Conjunto Taquaril             ;Bairro               
318;B ;Custodinha                    ;Bairro               
319;B ;Delta                         ;Bairro               
320;B ;Esperança                     ;Bairro               
321;B ;Vila Esplanada                ;Bairro               
322;B ;Estrela                       ;Bairro               
323;B ;Estrela do Oriente            ;Bairro               
324;B ;Fazendinha                    ;Bairro               
325;B ;Flamengo                      ;Bairro               
326;NI;Grota                         ;Não informado        
327;B ;Grotinha                      ;Bairro               
328;B ;Guaratã                       ;Bairro               
329;B ;Itatiáia                      ;Bairro               
330;B ;Jardim do Vale                ;Bairro               
331;NI;João Alfredo                  ;Não informado        
332;B ;Lajedo                        ;Bairro               
333;NI;Laranjeiras                   ;Não informado        
334;B ;Leonina                       ;Bairro               
335;B ;Lorena                        ;Bairro               
336;B ;Madri                         ;Bairro               
337;NI;Mala E Cuia                   ;Não informado        
338;B ;Manacás                       ;Bairro               
339;NI;Maravilha                     ;Não informado        
340;B ;Marçola                       ;Bairro               
341;B ;Maria Tereza                  ;Bairro               
342;B ;Mariano de Abreu              ;Bairro               
343;B ;Marieta 1ª Seção              ;Bairro               
344;B ;Mariquinhas                   ;Bairro               
345;B ;Marmiteiros                   ;Bairro               
346;NI;Mirante                       ;Não informado        
347;NI;Mirtes                        ;Não informado        
348;B ;Morro dos Macacos             ;Bairro               
349;B ;Nossa Senhora da Conceição    ;Bairro               
350;B ;Nossa Senhora de Fátima       ;Bairro               
351;B ;Nossa Senhora do Rosário      ;Bairro               
352;B ;Conjunto Novo Dom Bosco       ;Bairro               
353;NI;Novo Ouro Preto               ;Não informado        
354;B ;Novo Santa Cecília            ;Bairro               
355;B ;Novo Tupi                     ;Bairro               
356;B ;Oeste                         ;Bairro               
357;B ;Pantanal                      ;Bairro               
358;B ;Parque São Pedro              ;Bairro               
359;B ;Penha                         ;Bairro               
360;B ;São Francisco das Chagas      ;Bairro               
361;NI;Pindura Saia                  ;Não informado        
362;B ;Vila Piratininga Venda Nova   ;Bairro               
363;B ;Pirineus                      ;Bairro               
364;B ;Santa Isabel                  ;Bairro               
365;B ;Santa Rita de Cássia          ;Bairro               
366;B ;Santa Sofia                   ;Bairro               
367;B ;São Benedito                  ;Bairro               
368;B ;São Damião                    ;Bairro               
369;B ;São Gonçalo                   ;Bairro               
370;B ;São João                      ;Bairro               
371;B ;Satélite                      ;Bairro               
372;B ;Senhor dos Passos             ;Bairro               
373;B ;Sport Club                    ;Bairro               
374;B ;Tiradentes                    ;Bairro               
375;B ;Três Marias                   ;Bairro               
376;NI;Unidas                        ;Não informado        
377;B ;Universo                      ;Bairro               
378;B ;Urca                          ;Bairro               
379;B ;Várzea da Palma               ;Bairro               
380;B ;Ventosa                       ;Bairro               
381;V ;Vila Aeroporto                ;Vila                 
382;V ;Vila Aeroporto Jaraguá        ;Vila                 
383;B ;Vila Jardim Alvorada          ;Bairro               
384;V ;Vila Antena Montanhês         ;Vila                 
385;V ;Vila Átila de Paiva           ;Vila                 
386;V ;Vila Bandeirantes             ;Vila                 
387;V ;Vila Boa Vista                ;Vila                 
388;B ;Vila Calafate                 ;Bairro               
389;V ;Vila Califórnia               ;Vila                 
390;V ;Vila Copacabana               ;Vila                 
391;V ;Vila Copasa                   ;Vila                 
392;V ;Vila Coqueiral                ;Vila                 
393;NI;Vila da Ária                  ;Não informado        
394;V ;Vila da Paz                   ;Vila                 
395;V ;Vila das Oliveiras            ;Vila                 
396;V ;Vila de Sá                    ;Vila                 
397;NI;Vila do Pombal                ;Não informado        
398;V ;Vila dos Anjos                ;Vila                 
399;NI;Vila Engenho Nogueira         ;Não informado        
400;NI;Vila Fumec                    ;Não informado        
401;NI;Vila Havaí                    ;Não informado        
402;B ;Vila Independência            ;Bairro               
403;V ;Vila Inestan                  ;Vila                 
