boletim_pk;hora
749;9.15
750;14.2333333333
751;16.2666666667
752;18.3
753;5.0833333333
754;8.1333333333
755;10.1666666667
756;15.25
757;18.3
758;13.2166666667
759;12.2
760;17.2833333333
761;17.2833333333
762;10.1666666667
763;11.1833333333
764;17.2833333333
765;18.3
766;10.1666666667
767;19.3166666667
768;10.1666666667
769;18.3
770;21.35
771;21.35
772;9.15
773;18.3
774;9.15
775;19.3166666667
776;17.2833333333
777;10.1666666667
778;16.2666666667
779;11.1833333333
780;19.3166666667
781;13.2166666667
782;11.1833333333
783;20.3333333333
784;19.3166666667
785;18.3
786;12.2
787;20.3333333333
788;18.3
789;11.1833333333
790;11.1833333333
791;22.3666666667
792;19.3166666667
793;13.2166666667
794;14.2333333333
795;12.2
796;12.2
797;13.2166666667
798;23.3833333333
799;9.15
800;22.3666666667
801;13.2166666667
802;13.2166666667
803;22.3666666667
804;21.35
805;14.2333333333
806;14.2333333333
807;15.25
808;12.2
809;15.25
810;23.3833333333
811;7.1166666667
812;22.3666666667
813;12.2
814;14.2333333333
815;16.2666666667
816;10.1666666667
817;10.1666666667
818;23.3833333333
819;11.1833333333
820;7.1166666667
821;7.1166666667
822;11.1833333333
823;7.1166666667
824;16.2666666667
825;19.3166666667
826;15.25
827;21.35
828;16.2666666667
829;15.25
830;14.2333333333
831;12.2
832;16.2666666667
833;22.3666666667
834;8.1333333333
835;16.2666666667
836;13.2166666667
837;2.0333333333
838;2.0333333333
839;18.3
840;16.2666666667
841;2.0333333333
842;16.2666666667
843;4.0666666667
844;8.1333333333
845;8.1333333333
846;4.0666666667
847;8.1333333333
848;3.05
849;6.1
850;13.2166666667
851;6.1
852;16.2666666667
853;10.1666666667
854;18.3
855;7.1166666667
856;6.1
857;14.2333333333
858;17.2833333333
859;7.1166666667
860;21.35
861;16.2666666667
862;7.1166666667
863;13.2166666667
864;7.1166666667
865;17.2833333333
866;7.1166666667
867;17.2833333333
868;16.2666666667
869;18.3
870;10.1666666667
871;17.2833333333
872;15.25
873;9.15
874;19.3166666667
875;16.2666666667
876;18.3
877;19.3166666667
878;9.15
879;9.15
880;18.3
881;15.25
882;13.2166666667
883;19.3166666667
884;9.15
885;16.2666666667
886;19.3166666667
887;18.3
888;10.1666666667
889;9.15
890;12.2
891;10.1666666667
892;12.2
893;16.2666666667
894;12.2
895;10.1666666667
896;17.2833333333
897;11.1833333333
898;10.1666666667
899;19.3166666667
900;23.3833333333
901;10.1666666667
902;7.1166666667
903;13.2166666667
904;12.2
905;13.2166666667
906;13.2166666667
907;0.0
908;23.3833333333
909;7.1166666667
910;5.0833333333
911;23.3833333333
912;7.1166666667
913;14.2333333333
914;10.1666666667
915;11.1833333333
916;17.2833333333
917;7.1166666667
918;23.3833333333
919;2.0333333333
920;18.3
921;13.2166666667
922;14.2333333333
923;14.2333333333
924;14.2333333333
925;7.1166666667
926;1.0166666667
927;12.2
928;16.2666666667
929;16.2666666667
930;3.05
931;19.3166666667
932;11.1833333333
933;16.2666666667
934;21.35
935;6.1
936;13.2166666667
937;11.1833333333
938;14.2333333333
939;17.2833333333
940;7.1166666667
941;18.3
942;19.3166666667
943;9.15
944;12.2
945;12.2
946;16.2666666667
947;22.3666666667
948;6.1
949;0.0
950;9.15
951;9.15
952;14.2333333333
953;14.2333333333
954;17.2833333333
955;16.2666666667
956;7.1166666667
957;14.2333333333
958;9.15
959;12.2
960;8.1333333333
961;8.1333333333
962;14.2333333333
963;15.25
964;12.2
965;19.3166666667
966;9.15
967;14.2333333333
968;21.35
969;8.1333333333
970;10.1666666667
971;6.1
972;11.1833333333
973;17.2833333333
974;13.2166666667
975;7.1166666667
976;6.1
977;9.15
978;18.3
979;18.3
980;14.2333333333
981;14.2333333333
982;12.2
983;19.3166666667
984;18.3
985;12.2
986;11.1833333333
987;9.15
988;10.1666666667
989;7.1166666667
990;6.1
991;19.3166666667
992;11.1833333333
993;16.2666666667
994;12.2
995;11.1833333333
996;8.1333333333
997;19.3166666667
998;7.1166666667
999;20.3333333333
1000;8.1333333333
1001;19.3166666667
1002;11.1833333333
1003;12.2
1004;12.2
1005;8.1333333333
1006;19.3166666667
1007;17.2833333333
1008;10.1666666667
1009;12.2
1010;16.2666666667
1011;7.1166666667
1012;15.25
1013;19.3166666667
1014;14.2333333333
1015;15.25
1016;11.1833333333
1017;12.2
1018;19.3166666667
1019;12.2
1020;13.2166666667
1021;17.2833333333
1022;22.3666666667
1023;7.1166666667
1024;13.2166666667
1025;18.3
1026;12.2
1027;12.2
1028;12.2
1029;15.25
1030;14.2333333333
1031;13.2166666667
1032;16.2666666667
1033;13.2166666667
1034;14.2333333333
1035;15.25
1036;11.1833333333
1037;21.35
1038;17.2833333333
1039;21.35
1040;18.3
1041;17.2833333333
1042;23.3833333333
