"Tabela 202 - População residente, por sexo e situação do domicílio",,,,,,,,,,,,,,,,,,
Variável - População residente (Pessoas),,,,,,,,,,,,,,,,,,
,,,,1970,1970,1970,1980,1980,1980,1991,1991,1991,2000,2000,2000,2010,2010,2010
nivel_cod,nivel,cod,nome,Total,H,M,Total,H,M,Total,H,M,Total,H,M,Total,H,M
BA,Bairro,3106200214,Engenho Nogueira,,,,,,,,,,,,,1375,673,702
BA,Bairro,3106200215,Ermelinda,,,,,,,,,,,,,3455,1687,1768
BA,Bairro,3106200216,Glória,,,,,,,,,,,,,14627,6882,7745
BA,Bairro,3106200217,Inconfidência,,,,,,,,,,,,,3465,1675,1790
BA,Bairro,3106200218,Jardim Alvorada,,,,,,,,,,,,,9914,4699,5215
BA,Bairro,3106200219,Jardim Montanhês,,,,,,,,,,,,,5957,2742,3215
BA,Bairro,3106200220,Jardim São José,,,,,,,,,,,,,6964,3302,3662
BA,Bairro,3106200221,João Pinheiro,,,,,,,,,,,,,9640,4397,5243
BA,Bairro,3106200222,Vila Maloca,,,,,,,,,,,,,663,318,345
BA,Bairro,3106200223,Lorena,,,,,,,,,,,,,91,46,45
BA,Bairro,3106200224,Maravilha,,,,,,,,,,,,,56,30,26
BA,Bairro,3106200225,Marmiteiros,,,,,,,,,,,,,785,380,405
BA,Bairro,3106200226,Minas Brasil,,,,,,,,,,,,,3511,1657,1854
BA,Bairro,3106200227,Monsenhor Messias,,,,,,,,,,,,,4489,1997,2492
BA,Bairro,3106200228,Nova Cachoeirinha,,,,,,,,,,,,,4735,2144,2591
BA,Bairro,3106200229,Nova Esperança,,,,,,,,,,,,,4426,2058,2368
BA,Bairro,3106200230,Novo Glória,,,,,,,,,,,,,7856,3693,4163
BA,Bairro,3106200231,Oeste,,,,,,,,,,,,,3796,1768,2028
BA,Bairro,3106200232,Padre Eustáquio,,,,,,,,,,,,,28773,12895,15878
BA,Bairro,3106200233,Pedreira Padro Lopes,,,,,,,,,,,,,4453,2084,2369
